category,transaction_count,total_transaction_amount,average_transaction_amount,median_transaction_amount,success_rate
Shopping,5121,256845911.15,50155.42,50776.99,92.01
Utilities,5081,253331252.59,49858.54,49468.65,92.15
Food,5079,256849288.48,50570.84,51581.6,91.75
Groceries,5029,249564801.83,49625.13,49656.07,92.52
Education,5023,248854355.28,49542.97,49378.11,91.54
Other,4979,247999607.57,49809.12,49751.45,92.41
Travel,4936,247087658.28,50058.28,49837.78,91.67
Healthcare,4932,246544164.58,49988.68,50552.59,91.99
Entertainment,4930,247384892.75,50179.49,49983.23,91.5
Bills,4890,245648712.77,50234.91,50084.52,91.8
