transaction_id,account_id,transaction_date,transaction_type,category,amount,payment_mode,merchant_category,transaction_status
T000001,A04430,2026-04-20,Credit,Education,56717.36,ATM,Utility,Success
T000002,A01600,2025-08-02,Debit,Bills,89434.0,Credit Card,Retail,Success
T000003,A04950,2026-03-14,Debit,Food,63508.52,ATM,Grocery,Failed
T000004,A04444,2025-03-30,Debit,Other,6337.84,UPI,Grocery,Pending
T000005,A02248,2025-02-16,Credit,Entertainment,50034.77,Net Banking,Education,Success
T000006,A00584,2024-10-30,Credit,Bills,26870.64,Net Banking,Retail,Success
T000007,A00320,2025-06-24,Debit,Groceries,45040.06,Credit Card,Travel,Success
T000008,A03959,2026-04-19,Credit,Shopping,12980.74,Debit Card,Fuel,Success
T000009,A02061,2024-11-28,Credit,Travel,30602.84,ATM,Restaurant,Success
T000010,A01114,2026-08-09,Credit,Travel,72879.98,UPI,Other,Success
T000011,A04818,2025-09-12,Debit,Utilities,26850.52,ATM,Utility,Success
T000012,A01932,2026-04-26,Credit,Utilities,49935.2,Net Banking,Restaurant,Success
T000013,A01558,2025-12-25,Debit,Healthcare,70088.67,UPI,Restaurant,Success
T000014,A02089,2025-09-06,Debit,Other,24343.58,ATM,Online,Success
T000015,A01602,2026-06-26,Credit,Entertainment,28689.56,Credit Card,Healthcare,Success
T000016,A03727,2024-10-21,Debit,Other,55767.95,Credit Card,Online,Success
T000017,A02842,2026-03-20,Debit,Travel,60320.77,ATM,Utility,Success
T000018,A03719,2026-06-20,Credit,Bills,78924.5,Debit Card,Education,Success
T000019,A01850,2026-07-03,Debit,Food,89505.92,Net Banking,Restaurant,Success
T000020,A00855,2025-11-27,Credit,Entertainment,19523.72,Credit Card,Retail,Success
T000021,A01092,2026-05-17,Debit,Healthcare,39895.92,Debit Card,Healthcare,Success
T000022,A02813,2026-01-13,Debit,Entertainment,21256.87,Debit Card,Utility,Success
T000023,A01491,2025-11-12,Debit,Travel,36507.27,UPI,Healthcare,Success
T000024,A02981,2026-06-25,Credit,Groceries,74045.63,Credit Card,Fuel,Success
T000025,A02380,2025-05-24,Debit,Groceries,7841.87,Net Banking,Travel,Success
T000026,A04718,2025-07-07,Credit,Food,99163.51,Credit Card,Education,Success
T000027,A01366,2025-02-28,Debit,Utilities,53194.71,Credit Card,Restaurant,Success
T000028,A02460,2025-04-02,Credit,Travel,50616.14,Credit Card,Grocery,Success
T000029,A00912,2024-12-15,Debit,Entertainment,27383.76,Net Banking,Other,Success
T000030,A02062,2026-07-07,Credit,Food,17885.54,ATM,Utility,Pending
T000031,A01422,2026-01-03,Credit,Education,72871.15,Credit Card,Fuel,Success
T000032,A04328,2026-01-29,Credit,Healthcare,76490.89,ATM,Grocery,Success
T000033,A00018,2026-09-09,Debit,Education,31676.83,UPI,Healthcare,Success
T000034,A00617,2025-08-04,Debit,Food,48062.69,ATM,Restaurant,Success
T000035,A01922,2026-07-25,Debit,Healthcare,95790.28,ATM,Restaurant,Success
T000036,A01611,2025-11-29,Debit,Shopping,72449.39,UPI,Restaurant,Success
T000037,A02457,2025-02-28,Debit,Education,53553.76,Net Banking,Restaurant,Success
T000038,A00389,2025-08-14,Debit,Food,63227.24,UPI,Online,Success
T000039,A04837,2026-03-02,Credit,Groceries,72566.84,Net Banking,Other,Success
T000040,A01986,2026-06-13,Credit,Food,60752.88,Debit Card,Grocery,Success
T000041,A04023,2024-11-20,Debit,Entertainment,33882.72,Net Banking,Grocery,Success
T000042,A02182,2026-04-08,Credit,Groceries,35064.63,UPI,Grocery,Success
T000043,A01350,2025-03-07,Credit,Shopping,13965.44,Debit Card,Grocery,Success
T000044,A00014,2026-05-09,Credit,Shopping,18805.92,Net Banking,Restaurant,Success
T000045,A04433,2024-12-07,Credit,Utilities,96196.21,Debit Card,Grocery,Failed
T000046,A00493,2026-06-14,Credit,Groceries,26500.92,ATM,Utility,Success
T000047,A03047,2024-10-04,Debit,Education,61885.87,Net Banking,Other,Success
T000048,A03709,2026-07-10,Credit,Bills,3338.79,UPI,Grocery,Success
