account_id,customer_id,branch_id,account_type,opening_date,balance,account_status
A00001,C00001,B012,Current,2023-05-25,499296.6,Active
A00002,C00002,B023,Business,2023-11-15,58440.43,Active
A00003,C00003,B016,Business,2026-01-26,447749.02,Active
A00004,C00004,B006,Current,2024-12-06,26676.48,Active
A00005,C00005,B011,Savings,2021-11-03,203301.11,Active
A00006,C00006,B030,Current,2024-06-28,183356.51,Active
A00007,C00007,B025,Salary,2025-05-08,250318.02,Active
A00008,C00008,B004,Savings,2024-08-01,217314.27,Active
A00009,C00009,B028,Current,2024-06-10,350022.2,Active
A00010,C00010,B001,Business,2022-02-21,204022.05,Active
A00011,C00011,B016,Business,2025-07-09,448804.97,Active
A00012,C00012,B025,Current,2026-08-12,351596.33,Active
A00013,C00013,B018,Savings,2025-12-23,433817.88,Inactive
A00014,C00014,B027,Current,2022-04-15,52964.56,Active
A00015,C00015,B015,Salary,2023-07-10,209781.24,Active
A00016,C00016,B026,Current,2026-09-04,420668.64,Active
A00017,C00017,B030,Business,2021-12-07,315162.1,Active
A00018,C00018,B018,Business,2021-11-25,310151.74,Active
A00019,C00019,B023,Business,2024-05-26,349757.25,Inactive
A00020,C00020,B010,Business,2026-02-19,285774.59,Active
A00021,C00021,B011,Salary,2024-02-13,296234.33,Active
A00022,C00022,B026,Savings,2025-07-09,59769.76,Active
A00023,C00023,B024,Current,2024-04-18,34001.1,Inactive
A00024,C00024,B012,Current,2021-12-24,350010.49,Inactive
A00025,C00025,B029,Savings,2025-01-20,178874.22,Active
A00026,C00026,B016,Savings,2024-05-05,214128.67,Active
A00027,C00027,B008,Business,2022-12-27,107535.06,Active
A00028,C00028,B008,Business,2022-07-21,488052.79,Active
A00029,C00029,B004,Salary,2025-09-22,167188.65,Active
A00030,C00030,B013,Business,2024-08-25,8800.77,Active
A00031,C00031,B020,Salary,2023-02-19,404461.81,Active
A00032,C00032,B017,Salary,2021-11-22,93569.13,Active
A00033,C00033,B030,Business,2025-01-23,499326.81,Active
A00034,C00034,B026,Business,2025-05-31,218513.3,Inactive
A00035,C00035,B002,Salary,2021-11-17,395643.07,Active
A00036,C00036,B006,Savings,2023-12-14,410994.73,Active
A00037,C00037,B011,Business,2023-11-02,433263.3,Inactive
A00038,C00038,B025,Business,2025-04-25,173258.79,Active
A00039,C00039,B019,Business,2023-07-01,392345.83,Active
A00040,C00040,B025,Salary,2022-11-01,482555.13,Active
A00041,C00041,B026,Savings,2025-04-12,215449.97,Active
A00042,C00042,B028,Salary,2026-08-20,132753.83,Inactive
A00043,C00043,B029,Business,2024-11-23,392723.16,Active
A00044,C00044,B025,Business,2023-03-09,171571.13,Active
A00045,C00045,B002,Savings,2023-11-10,201262.74,Active
A00046,C00046,B020,Salary,2026-05-07,118306.55,Active
A00047,C00047,B001,Business,2026-07-07,84330.75,Active
A00048,C00048,B004,Current,2023-10-13,80317.13,Active
A00049,C00049,B025,Business,2024-03-11,216950.08,Inactive
A00050,C00050,B023,Business,2022-07-23,158755.05,Active
A00051,C00051,B025,Salary,2023-04-02,308570.2,Inactive
A00052,C00052,B001,Savings,2026-07-11,44137.21,Active
